 160,463,70,168 
 155,463,77,169 
 153,463,76,170 
 153,463,72,169 
 155,463,71,170 
 159,463,70,169 
 164,464,69,168 
 168,462,68,170 
 169,462,66,169 
 171,462,72,171 
 174,463,69,169 
 177,462,69,172 
 180,463,71,169 
 183,462,75,172 
 184,463,75,169 
 187,463,72,171 
 192,461,77,172 
 196,461,76,171 
 203,461,76,172 
 210,459,77,172 
 210,459,77,172 
 215,459,77,172 
 223,459,77,172 
 227,456,80,172 
 235,457,81,159 
 244,458,79,161 
 244,459,77,160 
 250,456,81,162 
 258,456,80,118 
 267,457,79,118 
 275,456,79,119 
 282,457,77,119 
 282,457,78,117 
 290,454,77,116 
 298,455,76,115 
 300,454,75,119 
 308,453,76,119 
 315,451,77,136 
 314,452,77,136 
 319,453,77,136 
 324,454,77,136 
 332,450,71,135 
 337,451,71,135 
 342,449,71,135 
 341,449,71,135 
 344,448,71,135 
 348,448,71,135 
 350,449,70,167 
 353,452,68,166 
 356,454,63,163 
 356,454,65,162 
 359,455,64,161 
 359,458,63,159 
 359,457,62,158 
 359,456,67,160 
 355,452,71,164 
 355,452,70,163 
 354,450,70,163 
 352,442,73,169 
 350,438,73,169 
 347,430,64,151 
 347,428,67,155 
 347,428,66,154 
 346,422,72,161 
 346,417,74,171 
 342,411,68,173 
 340,413,62,161 
 331,414,72,153 
 330,414,69,157 
 319,416,74,144 
 312,419,77,138 
 302,422,87,137 
 299,425,92,130 
 298,428,94,125 
 297,427,94,125 
 297,428,94,125 
 299,431,94,122 
 302,432,93,121 
 304,431,97,123 
 304,430,97,123 
 303,429,97,123 
 305,427,96,125 
 304,426,96,125 
 305,422,95,130 
 303,420,95,130 
 306,416,93,136 
 305,414,95,138 
 304,412,95,138 
 303,411,95,138 
 303,413,83,145 
 302,412,84,146 
 301,413,84,146 
 300,412,84,146 
 299,413,83,145 
 299,413,82,144 
 299,413,82,144 
 300,413,83,145 
 300,413,82,144 
 301,413,81,141 
 302,413,77,146 
