173,294,121,190
173,294,117,189
173,294,118,192
172,294,118,190
172,294,118,190
171,295,120,190
172,295,118,190
171,295,119,189
171,295,119,191
170,295,120,189
170,295,119,189
171,295,119,189
171,294,119,191
171,294,118,191
172,294,119,192
174,293,118,189
174,292,117,189
176,292,117,190
177,290,118,191
179,288,117,191
182,286,118,192
184,286,118,192
185,285,118,192
186,286,116,190
187,287,116,193
186,287,118,192
185,287,116,193
185,289,115,191
184,289,116,191
183,290,116,192
183,290,116,191
183,291,116,191
182,292,116,191
182,293,114,189
182,294,116,189
179,294,121,191
179,293,126,191
180,291,128,194
183,290,133,193
188,288,137,185
204,286,117,180
221,286,109,186
240,287,96,186
254,288,100,190
264,290,121,194
277,291,108,195
287,290,104,195
296,289,98,181
309,287,89,173
327,286,77,175
342,284,76,178
350,283,90,181
358,281,92,186
364,280,100,186
371,279,106,177
374,277,115,193
393,276,85,159
414,275,73,173
423,275,91,174
435,274,88,182
446,272,83,184
457,271,81,175
467,270,81,161
478,270,70,159
494,269,56,165
508,269,54,164
516,268,60,168
520,266,68,174
520,264,80,171
523,263,76,164
529,261,73,142
539,261,61,128
548,261,57,159
553,262,60,148
557,261,60,158
560,260,62,147
562,258,63,165
564,257,62,149
567,256,51,133
572,258,46,142
575,259,46,142
577,260,43,160
576,259,45,155
575,259,42,154
574,259,43,153
571,259,48,129
566,261,53,126
565,262,50,122
561,263,50,120
558,263,54,154
557,262,51,153
556,262,52,147
556,262,49,143
557,262,48,139
560,262,42,132
563,263,36,114
566,264,32,111
567,262,31,133
566,260,29,132
564,259,28,133
